"COUNTRY","CYEAR","ON_TIME","GTEQ_24_MONTHS","12_TO_23_MONTHS","24_TO_36_MONTHS","TARGETNUMBER","DELAYED","TOT","COV_ON_TIME","COV_TOT","COV_DELAYED","DIF_COV"
"ECU",2020,215874,243905,0,0,330345,243905,459779,65.3480452254461,139.181461805083,73.8334165796364,73.8334165796364
"ECU",2021,243905,0,0,0,329725,0,243905,73.972249601941,73.972249601941,0,0
"EGY",2017,2392602,94767,0,0,2534617,94767,2487369,94.3969838441074,98.1358919316015,3.73890808749409,3.73890808749408
"EGY",2018,2250618,82540,0,0,2378311,82540,2333158,94.6309376696319,98.101467806355,3.47053013672308,3.47053013672308
"EGY",2019,2140242,20417,0,0,2282209,20417,2160659,93.7794040773654,94.6740197764534,0.894615699088033,0.894615699088035
"EGY",2020,2133467,19356,0,0,2224366,19356,2152823,95.9134872588414,96.7836677956775,0.870180536836114,0.870180536836102
"EGY",2021,2004683,0,0,0,2091246,0,2004683,95.8606974024099,95.8606974024099,0,0
"ERI",2018,77971,0,590,0,109342,590,78561,71.3092864590002,71.8488778328547,0.539591373854512,0.539591373854506
"ERI",2019,79340,0,804,0,97411.99104,804,80144,81.4478783904754,82.273238791609,0.82536040113363,0.825360401133622
"ERI",2020,83620,0,629,0,99876,629,84249,83.7238175337418,84.353598462093,0.629780928351155,0.629780928351153
"ERI",2021,87023,0,514,0,102673,514,87537,84.7574337946685,85.2580522630098,0.500618468341239,0.500618468341244
"ERI",2022,81796,0,0,0,102543,0,81796,79.7675121656281,79.7675121656281,0,0
"EST",2017,11630,1100,0,0,13388,1100,12730,86.8688377651628,95.0851508813863,8.21631311622348,8.21631311622347
"EST",2018,12152,0,0,0,13846,0,12152,87.7654196157735,87.7654196157735,0,0
"EST",2019,12618,204,0,0,13900,204,12822,90.7769784172662,92.2446043165468,1.46762589928058,1.46762589928059
"EST",2020,12016,0,0,0,13437,0,12016,89.4247227803825,89.4247227803825,0,0
"EST",2021,11120,0,0,0,14255,0,11120,78.0077165906699,78.0077165906699,0,0
"FSM",2017,3369,1656,0,0,4599,1656,5025,73.2550554468363,109.262883235486,36.0078277886497,36.0078277886497
"FSM",2018,3444,0,0,0,4412,0,3444,78.0598368087035,78.0598368087035,0,0
"FSM",2019,3311,0,3311,0,4210,3311,6622,78.646080760095,157.29216152019,78.646080760095,78.646080760095
"FSM",2020,2582,0,0,0,4004,0,2582,64.4855144855145,64.4855144855145,0,0
"FSM",2021,2758,0,0,0,4016,0,2758,68.6752988047809,68.6752988047809,0,0
"GBR",2017,721207,0,0,0,786797,0,721207,91.6636692819113,91.6636692819113,0,0
"GBR",2018,710411,0,0,0,782225,0,710411,90.8192655565854,90.8192655565854,0,0
"GBR",2019,691632,0,0,0,759399,0,691632,91.0762326524001,91.0762326524001,0,0
"GBR",2020,669892,0,0,0,736955,0,669892,90.8999871091179,90.8999871091179,0,0
"GBR",2021,648375,0,0,0,722021,0,648375,89.800019667018,89.800019667018,0,0
"GEO",2017,50203,5940,0,0,51060,5940,56143,98.3215824520172,109.954954954955,11.6333725029377,11.6333725029377
"GEO",2018,46955,2230,0,0,47055,2230,49185,99.7874827329721,104.526617787695,4.7391350547232,4.73913505472321
"GEO",2019,40844,1560,0,0,44929,1560,42404,90.9078768723987,94.3800218121926,3.4721449397939,3.47214493979389
"GEO",2020,37815,3553,0,0,41965,3553,41368,90.1108066245681,98.5773859168355,8.46657929226737,8.46657929226735
"GEO",2021,35987,0,0,0,39965,0,35987,90.0462905041912,90.0462905041912,0,0
"GHA",2018,1094228,0,11423,0,1154946.195,11423,1105651,94.7427685148571,95.7318189181964,0.989050403339352,0.989050403339348
"GHA",2019,1124121,0,9959,0,1181170.692,9959,1134080,95.1700721676897,96.0132187228364,0.843146555146663,0.84314655514666
"GHA",2021,1160450,0,8899,0,1202449,8899,1169349,96.5072115324642,97.2472845002158,0.740072967751647,0.740072967751644
