"COUNTRY","YEAR","VACCINECODE","AGEGROUP","DOSES"
"SLB",2017,"DTPCV3","NOT_COLLECTED","15313"
"IRN",2019,"MCV1","NOT_COLLECTED","1382634"
"IDN",2017,"MCV1","NOT_COLLECTED","4355288"
"DEU",2017,"DTPCV3","NOT_COLLECTED",NA
"TUR",2018,"MCV1","NOT_COLLECTED","1233216"
"HND",2018,"MCV1","GTEQ_24_MONTHS","5894"
"JOR",2017,"MCV1","NOT_COLLECTED","193143"
"UGA",2018,"DTPCV3","NOT_COLLECTED","1558579"
"COG",2018,"MCV1","NOT_COLLECTED","164542"
"ITA",2019,"MCV1","NOT_COLLECTED",NA
"VCT",2018,"DTPCV3","NOT_COLLECTED","1499"
"TKL",2019,"DTPCV3","NOT_COLLECTED","54"
"MDG",2017,"MCV1","NOT_COLLECTED","706213"
"VUT",2019,"DTPCV3","NOT_COLLECTED","7867"
"GNB",2018,"DTPCV3","NOT_COLLECTED","53474"
"GMB",2017,"MCV1","NOT_COLLECTED","73875"
"PAK",2018,"DTPCV3","NOT_COLLECTED","5528733"
"IRL",2017,"MCV1","NOT_COLLECTED","61077"
"GRD",2019,"MCV1","NOT_COLLECTED","1338"
"DNK",2019,"MCV1","NOT_COLLECTED","59095"
"GUM",2018,"DTPCV3","NOT_COLLECTED",NA
"ERI",2018,"MCV1","NOT_COLLECTED","77971"
"GUY",2019,"DTPCV3","NOT_COLLECTED","15131"
"ROU",2019,"DTPCV3","NOT_COLLECTED","89346"
"MYS",2019,"DTPCV3","NOT_COLLECTED","493878"
"ZMB",2018,"DTPCV3","NOT_COLLECTED","606584"
"BLZ",2018,"MCV1","NOT_COLLECTED","6630"
"SMR",2018,"DTPCV3","NOT_COLLECTED","245"
"LSO",2017,"DTPCV3","NOT_COLLECTED","33052"
"TUV",2018,"MCV1","NOT_COLLECTED","247"
"TGO",2018,"MCV1","NOT_COLLECTED","263399"
"TKM",2017,"DTPCV3","NOT_COLLECTED",NA
"HRV",2019,"DTPCV3","NOT_COLLECTED","35646"
"TLS",2018,"MCV1","NOT_COLLECTED","32926"
"GIN",2018,"MCV1","NOT_COLLECTED","429812"
"KIR",2019,"DTPCV3","NOT_COLLECTED","3156"
"CZE",2019,"DTPCV3","NOT_COLLECTED",NA
"MCO",2018,"DTPCV3","NOT_COLLECTED",NA
"GIN",2017,"MCV1","NOT_COLLECTED","411509"
"ECU",2017,"MCV1","NOT_COLLECTED","268684"
"RUS",2019,"MCV1","NOT_COLLECTED","1594338"
"QAT",2017,"DTPCV3","NOT_COLLECTED","27907"
"URY",2019,"MCV1","GTEQ_24_MONTHS",NA
"TTO",2017,"DTPCV3","NOT_COLLECTED","14483"
"PSE",2017,"MCV1","NOT_COLLECTED","132289"
"CAN",2017,"MCV1","NOT_COLLECTED",NA
"CHN",2019,"DTPCV3","NOT_COLLECTED","14928998"
"GEO",2019,"DTPCV3","NOT_COLLECTED","43187"
"TZA",2017,"DTPCV3","NOT_COLLECTED","1906787"
"ZAF",2019,"DTPCV3","NOT_COLLECTED","983465"
"BRA",2018,"DTPCV3","NOT_COLLECTED","2492050"
"CHE",2018,"DTPCV3","NOT_COLLECTED",NA
"ATG",2017,"DTPCV3","NOT_COLLECTED","1110"
"ISR",2018,"DTPCV3","NOT_COLLECTED","127996"
"CUB",2019,"DTPCV3","GTEQ_24_MONTHS",NA
"PAN",2019,"MCV1","NOT_COLLECTED","71756"
"KNA",2018,"MCV1","GTEQ_24_MONTHS","13"
"ETH",2018,"MCV1","NOT_COLLECTED","2658823"
